"cond.SN","cond.SN.dil","starch","replc","cells","abs"
"C",100,FALSE,"2",FALSE,0.679
"C",100,FALSE,"1",FALSE,0.762
"E",100,FALSE,"2",FALSE,0.371
"E",100,FALSE,"1",FALSE,0.439
"M",100,FALSE,"2",FALSE,0.076
"M",100,FALSE,"1",FALSE,0.057
"P",100,FALSE,"2",FALSE,0.037
"P",100,FALSE,"1",FALSE,0.038
"S",100,FALSE,"2",FALSE,0.706
"S",100,FALSE,"1",FALSE,0.519
"T",100,FALSE,"2",FALSE,0.183
"T",100,FALSE,"1",FALSE,0.04
"C",100,TRUE,"2",FALSE,2.115
"C",100,TRUE,"1",FALSE,2.251
"E",100,TRUE,"2",FALSE,1.727
"E",100,TRUE,"1",FALSE,1.553
"M",100,TRUE,"2",FALSE,1.516
"M",100,TRUE,"1",FALSE,1.495
"P",100,TRUE,"2",FALSE,0.773
"P",100,TRUE,"1",FALSE,1.349
"S",100,TRUE,"2",FALSE,2.236
"S",100,TRUE,"1",FALSE,1.96
"T",100,TRUE,"2",FALSE,1.678
"T",100,TRUE,"1",FALSE,1.373
"C",50,TRUE,"2",FALSE,1.809
"C",50,TRUE,"1",FALSE,1.875
"E",50,TRUE,"2",FALSE,1.557
"E",50,TRUE,"1",FALSE,1.66
"M",50,TRUE,"2",FALSE,1.466
"M",50,TRUE,"1",FALSE,1.555
"P",50,TRUE,"2",FALSE,1.236
"P",50,TRUE,"1",FALSE,1.401
"S",50,TRUE,"2",FALSE,1.906
"S",50,TRUE,"1",FALSE,1.731
"T",50,TRUE,"2",FALSE,1.924
"T",50,TRUE,"1",FALSE,1.37
"C",25,TRUE,"2",FALSE,1.702
"C",25,TRUE,"1",FALSE,1.628
"E",25,TRUE,"2",FALSE,1.543
"E",25,TRUE,"1",FALSE,1.565
"M",25,TRUE,"2",FALSE,1.468
"M",25,TRUE,"1",FALSE,1.502
"P",25,TRUE,"2",FALSE,1.371
"P",25,TRUE,"1",FALSE,1.426
"S",25,TRUE,"2",FALSE,1.738
"S",25,TRUE,"1",FALSE,1.558
"T",25,TRUE,"2",FALSE,1.663
"T",25,TRUE,"1",FALSE,1.395
"C",10,TRUE,"2",FALSE,1.568
"C",10,TRUE,"1",FALSE,1.596
"E",10,TRUE,"2",FALSE,1.466
"E",10,TRUE,"1",FALSE,1.546
"M",10,TRUE,"2",FALSE,1.401
"M",10,TRUE,"1",FALSE,1.572
"P",10,TRUE,"2",FALSE,1.4
"P",10,TRUE,"1",FALSE,1.518
"S",10,TRUE,"2",FALSE,1.601
"S",10,TRUE,"1",FALSE,1.543
"T",10,TRUE,"2",FALSE,1.54
"T",10,TRUE,"1",FALSE,1.479
"C",5,TRUE,"2",FALSE,1.558
"C",5,TRUE,"1",FALSE,1.538
"E",5,TRUE,"2",FALSE,1.572
"E",5,TRUE,"1",FALSE,1.511
"M",5,TRUE,"2",FALSE,1.466
"M",5,TRUE,"1",FALSE,1.526
"P",5,TRUE,"2",FALSE,1.421
"P",5,TRUE,"1",FALSE,1.443
"S",5,TRUE,"2",FALSE,1.534
"S",5,TRUE,"1",FALSE,1.47
"T",5,TRUE,"2",FALSE,1.535
"T",5,TRUE,"1",FALSE,1.416
"C",100,FALSE,"2",TRUE,0.037
"C",100,FALSE,"1",TRUE,0.039
"E",100,FALSE,"2",TRUE,0.072
"E",100,FALSE,"1",TRUE,0.254
"M",100,FALSE,"2",TRUE,0.037
"M",100,FALSE,"1",TRUE,0.037
"P",100,FALSE,"2",TRUE,0.037
"P",100,FALSE,"1",TRUE,0.038
"S",100,FALSE,"2",TRUE,0.037
"S",100,FALSE,"1",TRUE,0.037
"T",100,FALSE,"2",TRUE,0.038
"T",100,FALSE,"1",TRUE,0.038
"C",100,TRUE,"2",TRUE,0.523
"C",100,TRUE,"1",TRUE,1.277
"E",100,TRUE,"2",TRUE,1.526
"E",100,TRUE,"1",TRUE,1.901
"M",100,TRUE,"2",TRUE,0.041
"M",100,TRUE,"1",TRUE,0.042
"P",100,TRUE,"2",TRUE,0.494
"P",100,TRUE,"1",TRUE,1.253
"S",100,TRUE,"2",TRUE,0.041
"S",100,TRUE,"1",TRUE,0.041
"T",100,TRUE,"2",TRUE,0.039
"T",100,TRUE,"1",TRUE,0.04
"C",50,TRUE,"2",TRUE,1.148
"C",50,TRUE,"1",TRUE,1.358
"E",50,TRUE,"2",TRUE,1.522
"E",50,TRUE,"1",TRUE,1.617
"M",50,TRUE,"2",TRUE,0.054
"M",50,TRUE,"1",TRUE,0.055
"P",50,TRUE,"2",TRUE,1.128
"P",50,TRUE,"1",TRUE,1.283
"S",50,TRUE,"2",TRUE,0.059
"S",50,TRUE,"1",TRUE,0.057
"T",50,TRUE,"2",TRUE,0.042
"T",50,TRUE,"1",TRUE,0.05
"C",25,TRUE,"2",TRUE,1.404
"C",25,TRUE,"1",TRUE,1.449
"E",25,TRUE,"2",TRUE,1.523
"E",25,TRUE,"1",TRUE,1.589
"M",25,TRUE,"2",TRUE,0.107
"M",25,TRUE,"1",TRUE,0.114
"P",25,TRUE,"2",TRUE,1.336
"P",25,TRUE,"1",TRUE,1.407
"S",25,TRUE,"2",TRUE,0.12
"S",25,TRUE,"1",TRUE,0.121
"T",25,TRUE,"2",TRUE,0.071
"T",25,TRUE,"1",TRUE,0.094
"C",10,TRUE,"2",TRUE,1.475
"C",10,TRUE,"1",TRUE,1.457
"E",10,TRUE,"2",TRUE,1.52
"E",10,TRUE,"1",TRUE,1.533
"M",10,TRUE,"2",TRUE,0.31
"M",10,TRUE,"1",TRUE,0.373
"P",10,TRUE,"2",TRUE,1.415
"P",10,TRUE,"1",TRUE,1.468
"S",10,TRUE,"2",TRUE,0.377
"S",10,TRUE,"1",TRUE,0.327
"T",10,TRUE,"2",TRUE,0.323
"T",10,TRUE,"1",TRUE,0.246
"C",5,TRUE,"2",TRUE,1.468
"C",5,TRUE,"1",TRUE,1.464
"E",5,TRUE,"2",TRUE,1.531
"E",5,TRUE,"1",TRUE,1.464
"M",5,TRUE,"2",TRUE,0.762
"M",5,TRUE,"1",TRUE,0.734
"P",5,TRUE,"2",TRUE,1.468
"P",5,TRUE,"1",TRUE,1.491
"S",5,TRUE,"2",TRUE,0.801
"S",5,TRUE,"1",TRUE,0.781
"T",5,TRUE,"2",TRUE,0.626
"T",5,TRUE,"1",TRUE,0.603
"C",0,TRUE,"1",FALSE,1.533
"E",0,TRUE,"1",FALSE,1.533
"M",0,TRUE,"1",FALSE,1.533
"P",0,TRUE,"1",FALSE,1.533
"S",0,TRUE,"1",FALSE,1.533
"T",0,TRUE,"1",FALSE,1.533
"C",0,TRUE,"2",FALSE,1.533
"E",0,TRUE,"2",FALSE,1.533
"M",0,TRUE,"2",FALSE,1.533
"P",0,TRUE,"2",FALSE,1.533
"S",0,TRUE,"2",FALSE,1.533
"T",0,TRUE,"2",FALSE,1.533
"C",0,TRUE,"1",TRUE,1.533
"E",0,TRUE,"1",TRUE,1.533
"M",0,TRUE,"1",TRUE,1.533
"P",0,TRUE,"1",TRUE,1.533
"S",0,TRUE,"1",TRUE,1.533
"T",0,TRUE,"1",TRUE,1.533
"C",0,TRUE,"2",TRUE,1.533
"E",0,TRUE,"2",TRUE,1.533
"M",0,TRUE,"2",TRUE,1.533
"P",0,TRUE,"2",TRUE,1.533
"S",0,TRUE,"2",TRUE,1.533
"T",0,TRUE,"2",TRUE,1.533
